llm,model,levenshtein_distance,levenshtein_similarity_ratio,syntax_errors,semantics_errors,language_level,feature_similarity,constraint_similarity,attribute_similarity,configurations_model2,jaccard_similarity,precision,recall,f1_score,global_similarity
Claude,20260320_133406_Benavides2025_eshop_Arithmetic_claude-opus-4-6,166,0.74,6,,,,,,,,,,,
Claude,20260320_133418_Benavides2025_eshop_Arithmetic2_claude-opus-4-6,200,0.71,6,,,,,,,,,,,
Claude,20260320_133428_Benavides2025_eshop_Boolean_claude-opus-4-6,139,0.76,6,,,,,,,,,,,
Claude,20260320_133440_Benavides2025_eshop_Boolean2_claude-opus-4-6,249,0.64,6,,,,,,,,,,,
Claude,20260320_133452_Benavides2025_eshop_Type_claude-opus-4-6,446,0.56,16,,,,,,,,,,,
Claude,20260320_133500_Horcas2021_AAFM_Boolean_claude-opus-4-6,47,0.9,0,0,Boolean,0.8571,0.3333,1.0,112,0.1562,0.2679,0.2727,0.2703,0.5006
Claude,20260320_133510_Horcas2023_AAFM_Attributes_claude-opus-4-6,55,0.92,4,,,,,,,,,,,
Claude,20260320_133521_Horcas2026_LLMs_Type_claude-opus-4-6,90,0.9,11,,,,,,,,,,,
Claude,20260320_133530_Knuppel2017_Pizza_Boolean_claude-opus-4-6,27,0.93,0,0,Boolean,1.0,1.0,1.0,42,1.0,1.0,1.0,1.0,1.0
Claude,20260320_133541_Sundermann2024_Pizza_Type_claude-opus-4-6,338,0.68,4,,,,,,,,,,,
Deepseek,20260320_133602_Benavides2025_eshop_Arithmetic_deepseek-chat,456,0.45,2,,,,,,,,,,,
Deepseek,20260320_133615_Benavides2025_eshop_Arithmetic2_deepseek-chat,484,0.41,3,,,,,,,,,,,
Deepseek,20260320_133628_Benavides2025_eshop_Boolean_deepseek-chat,410,0.45,2,,,,,,,,,,,
Deepseek,20260320_133853_Benavides2025_eshop_Boolean2_deepseek-chat,21188,0.02,1912,,,,,,,,,,,
Deepseek,20260320_133917_Benavides2025_eshop_Type_deepseek-chat,590,0.41,2,,,,,,,,,,,
Deepseek,20260320_133928_Horcas2021_AAFM_Boolean_deepseek-chat,110,0.78,2,,,,,,,,,,,
Deepseek,20260320_133940_Horcas2023_AAFM_Attributes_deepseek-chat,410,0.5,2,,,,,,,,,,,
Deepseek,20260320_133953_Horcas2026_LLMs_Type_deepseek-chat,307,0.64,3,,,,,,,,,,,
Deepseek,20260320_134001_Knuppel2017_Pizza_Boolean_deepseek-chat,37,0.9,0,0,Boolean,1.0,1.0,1.0,18,0.4286,1.0,0.4286,0.6,0.7714
Deepseek,20260320_134024_Sundermann2024_Pizza_Type_deepseek-chat,512,0.46,9,,,,,,,,,,,
GPT,20260320_133233_Benavides2025_eshop_Arithmetic_gpt-5.2,259,0.63,3,,,,,,,,,,,
GPT,20260320_133242_Benavides2025_eshop_Arithmetic2_gpt-5.2,316,0.57,7,,,,,,,,,,,
GPT,20260320_133250_Benavides2025_eshop_Boolean_gpt-5.2,195,0.66,3,,,,,,,,,,,
GPT,20260320_133258_Benavides2025_eshop_Boolean2_gpt-5.2,225,0.65,3,,,,,,,,,,,
GPT,20260320_133309_Benavides2025_eshop_Type_gpt-5.2,465,0.54,3,,,,,,,,,,,
GPT,20260320_133317_Horcas2021_AAFM_Boolean_gpt-5.2,107,0.8,2,,,,,,,,,,,
GPT,20260320_133326_Horcas2023_AAFM_Attributes_gpt-5.2,290,0.69,4,,,,,,,,,,,
GPT,20260320_133338_Horcas2026_LLMs_Type_gpt-5.2,531,0.56,3,,,,,,,,,,,
GPT,20260320_133345_Knuppel2017_Pizza_Boolean_gpt-5.2,40,0.9,4,,,,,,,,,,,
GPT,20260320_133355_Sundermann2024_Pizza_Type_gpt-5.2,277,0.71,3,,,,,,,,,,,
Gemini,20260320_134039_Benavides2025_eshop_Arithmetic_gemini-3-flash-preview,151,0.76,4,,,,,,,,,,,
Gemini,20260320_134056_Benavides2025_eshop_Arithmetic2_gemini-3-flash-preview,167,0.74,2,,,,,,,,,,,
Gemini,20260320_134107_Benavides2025_eshop_Boolean_gemini-3-flash-preview,120,0.78,3,,,,,,,,,,,
Gemini,20260320_134120_Benavides2025_eshop_Boolean2_gemini-3-flash-preview,132,0.76,5,,,,,,,,,,,
Gemini,20260320_134136_Benavides2025_eshop_Type_gemini-3-flash-preview,271,0.63,2,,,,,,,,,,,
Gemini,20260320_134151_Horcas2021_AAFM_Boolean_gemini-3-flash-preview,40,0.91,0,0,Boolean,0.8571,0.3333,1.0,110,0.1579,0.2727,0.2727,0.2727,0.5013
Gemini,20260320_134207_Horcas2023_AAFM_Attributes_gemini-3-flash-preview,79,0.9,4,,,,,,,,,,,
Gemini,20260320_134222_Horcas2026_LLMs_Type_gemini-3-flash-preview,128,0.84,3,,,,,,,,,,,
Gemini,20260320_134231_Knuppel2017_Pizza_Boolean_gemini-3-flash-preview,27,0.93,0,0,Boolean,1.0,1.0,1.0,42,1.0,1.0,1.0,1.0,1.0
Gemini,20260320_134246_Sundermann2024_Pizza_Type_gemini-3-flash-preview,410,0.64,3,,,,,,,,,,,
