llm,model,levenshtein_distance,levenshtein_similarity_ratio,syntax_errors,semantics_errors,language_level,feature_similarity,constraint_similarity,attribute_similarity,configurations_model2,jaccard_similarity,precision,recall,f1_score,global_similarity
Claude,Benavides2025_eshop_Arithmetic2_claude-opus-4-6_tripletas,165,0.74,6,,,,,,,,,,,
Claude,Benavides2025_eshop_Arithmetic_claude-opus-4-6_tripletas,314,0.62,4,,,,,,,,,,,
Claude,Benavides2025_eshop_Boolean2_claude-opus-4-6_tripletas,127,0.76,4,,,,,,,,,,,
Claude,Benavides2025_eshop_Boolean_claude-opus-4-6_tripletas,104,0.8,3,,,,,,,,,,,
Claude,Benavides2025_eshop_Type_claude-opus-4-6_tripletas,224,0.69,9,,,,,,,,,,,
Claude,Horcas2021_AAFM_Boolean_claude-opus-4-6_tripletas,42,0.91,0,0,Boolean,1.0,1.0,1.0,112,0.9821,0.9821,1.0,0.991,0.9928
Claude,Horcas2023_AAFM_Attributes_claude-opus-4-6_tripletas,55,0.92,4,,,,,,,,,,,
Claude,Horcas2026_LLMs_Type_claude-opus-4-6_tripletas,70,0.91,11,,,,,,,,,,,
Claude,Knuppel2017_Pizza_Boolean_claude-opus-4-6_tripletas,27,0.93,0,0,Boolean,1.0,1.0,1.0,42,1.0,1.0,1.0,1.0,1.0
Claude,Munoz2022_Edge_Boolean_claude-opus-4-6_tripletas,57,0.88,0,0,Boolean,0.4545,1.0,0.4,147,0.0,0.0,0.0,0.0,0.3709
Claude,SerranoGutierrez2023_Multifunctional_Type_claude-opus-4-6_tripletas,169,0.72,7,,,,,,,,,,,
Claude,Sundermann2024_Pizza_Type_claude-opus-4-6_tripletas,372,0.6,4,,,,,,,,,,,
Deepseek,Benavides2025_eshop_Arithmetic2_deepseek-chat_tripletas,296,0.54,6,,,,,,,,,,,
Deepseek,Benavides2025_eshop_Arithmetic_deepseek-chat_tripletas,278,0.57,6,,,,,,,,,,,
Deepseek,Benavides2025_eshop_Boolean2_deepseek-chat_tripletas,277,0.58,6,,,,,,,,,,,
Deepseek,Benavides2025_eshop_Boolean_deepseek-chat_tripletas,282,0.56,9,,,,,,,,,,,
Deepseek,Benavides2025_eshop_Type_deepseek-chat_tripletas,450,0.49,6,,,,,,,,,,,
Deepseek,Horcas2021_AAFM_Boolean_deepseek-chat_tripletas,91,0.81,9,,,,,,,,,,,
Deepseek,Horcas2023_AAFM_Attributes_deepseek-chat_tripletas,213,0.73,8,,,,,,,,,,,
Deepseek,Horcas2026_LLMs_Type_deepseek-chat_tripletas,414,0.46,16,,,,,,,,,,,
Deepseek,Knuppel2017_Pizza_Boolean_deepseek-chat_tripletas,50,0.87,4,,,,,,,,,,,
Deepseek,Munoz2022_Edge_Boolean_deepseek-chat_tripletas,213,0.53,2,,,,,,,,,,,
Deepseek,SerranoGutierrez2023_Multifunctional_Type_deepseek-chat_tripletas,192,0.63,2,,,,,,,,,,,
Deepseek,Sundermann2024_Pizza_Type_deepseek-chat_tripletas,468,0.54,6,,,,,,,,,,,
GPT,Benavides2025_eshop_Arithmetic2_gpt-5.2_tripletas,299,0.55,2,,,,,,,,,,,
GPT,Benavides2025_eshop_Arithmetic_gpt-5.2_tripletas,163,0.74,1,,,,,,,,,,,
GPT,Benavides2025_eshop_Boolean2_gpt-5.2_tripletas,155,0.74,8,,,,,,,,,,,
GPT,Benavides2025_eshop_Boolean_gpt-5.2_tripletas,123,0.77,3,,,,,,,,,,,
GPT,Benavides2025_eshop_Type_gpt-5.2_tripletas,296,0.61,2,,,,,,,,,,,
GPT,Horcas2021_AAFM_Boolean_gpt-5.2_tripletas,41,0.9,0,0,Boolean,0.8571,0.3333,1.0,110,0.1579,0.2727,0.2727,0.2727,0.5013
GPT,Horcas2023_AAFM_Attributes_gpt-5.2_tripletas,129,0.84,13,,,,,,,,,,,
GPT,Horcas2026_LLMs_Type_gpt-5.2_tripletas,181,0.82,9,,,,,,,,,,,
GPT,Knuppel2017_Pizza_Boolean_gpt-5.2_tripletas,27,0.93,0,0,Boolean,1.0,1.0,1.0,42,1.0,1.0,1.0,1.0,1.0
GPT,Munoz2022_Edge_Boolean_gpt-5.2_tripletas,86,0.83,2,,,,,,,,,,,
GPT,SerranoGutierrez2023_Multifunctional_Type_gpt-5.2_tripletas,213,0.62,10,,,,,,,,,,,
GPT,Sundermann2024_Pizza_Type_gpt-5.2_tripletas,340,0.68,2,,,,,,,,,,,
Gemini,Benavides2025_eshop_Arithmetic2_gemini-3-flash-preview_tripletas,152,0.76,3,,,,,,,,,,,
Gemini,Benavides2025_eshop_Arithmetic_gemini-3-flash-preview_tripletas,122,0.8,0,0,"Arithmetic (Group cardinality, Aggregate function)",0.8571,0.0,0.2,38,0.0,0.0,0.0,0.0,0.2114
Gemini,Benavides2025_eshop_Boolean2_gemini-3-flash-preview_tripletas,111,0.81,3,,,,,,,,,,,
Gemini,Benavides2025_eshop_Boolean_gemini-3-flash-preview_tripletas,95,0.82,3,,,,,,,,,,,
Gemini,Benavides2025_eshop_Type_gemini-3-flash-preview_tripletas,212,0.72,3,,,,,,,,,,,
Gemini,Horcas2021_AAFM_Boolean_gemini-3-flash-preview_tripletas,42,0.91,0,0,Boolean,1.0,1.0,1.0,112,0.9821,0.9821,1.0,0.991,0.9928
Gemini,Horcas2023_AAFM_Attributes_gemini-3-flash-preview_tripletas,108,0.85,10,,,,,,,,,,,
Gemini,Horcas2026_LLMs_Type_gemini-3-flash-preview_tripletas,82,0.9,3,,,,,,,,,,,
Gemini,Knuppel2017_Pizza_Boolean_gemini-3-flash-preview_tripletas,27,0.93,0,0,Boolean,1.0,1.0,1.0,42,1.0,1.0,1.0,1.0,1.0
Gemini,Munoz2022_Edge_Boolean_gemini-3-flash-preview_tripletas,49,0.89,0,0,Boolean,0.6842,0.0,0.0,147,0.0,0.0,0.0,0.0,0.1368
Gemini,SerranoGutierrez2023_Multifunctional_Type_gemini-3-flash-preview_tripletas,178,0.69,4,,,,,,,,,,,
Gemini,Sundermann2024_Pizza_Type_gemini-3-flash-preview_tripletas,255,0.71,5,,,,,,,,,,,
