Subject,Predicate,Object
uvl language,stands for,uvl
uvl language,is,textual language
uvl language,represents,feature model
uvl language,is,humanreadable
uvl language,serves as,pivot language
uvl language,is,communitydriven
uvl language,has,boolean level
uvl language,has,arithmetic level
uvl language,has,type level
uvl language,supports,language extension
uvl language,is integrated into,featureide
uvl language,is integrated into,flamapy
uvl language,has parser implementation for,python
uvl language,has parser implementation for,java
uvl language,has parser implementation for,javascript
uvl language,uses,antlr
uvl language,uses,treelike structure
uvl language,represents,hierarchical structure
uvl language,core includes,mandatory relationship
uvl language,core includes,optional relationship
uvl language,core includes,relationship
uvl language,core includes,alternative relationship
uvl language,core includes,crosstree constraint
uvl language,Boolean level includes,group cardinality
uvl language,Arithmetic level includes,arithmetic core
uvl language,Arithmetic level includes,attribute aggregate
uvl language,Arithmetic level includes,feature cardinality
uvl language,Type level includes,type core
uvl language,Type level includes,type numericconstraint
uvl language,Type level includes,type stringconstraint
uvl language,is,common textual exchange format
uvl language,is,opensource
uvl language,uses,nest describe hierarchy
uvl language,uses,complete keyword
uvl language,stores,crosstree constraint separately
uvl language,supports,decomposition
uvl language,supports,composition
uvl language,supports,conversion strategy level
uvl language,is maintained by,consortium institution
uvl language,is,concise
uvl language,uses,namespace
uvl language,uses,import
uvl language,allows,feature attribute
uvl language,allows,feature cardinality
uvl language,allows,group cardinality
uvl language,supports,propositional logic constraint
uvl language,supports,numeric constraint
uvl language,supports,string constraint
uvl language,is,textual variability modeling language
uvl language,is,extensible
uvl language,includes,boolean level
uvl language,includes,arithmetic level
uvl language,includes,type level
uvl language,has,treelike structure
uvl language,uses,nest hierarchy
uvl language,uses,indentation block
uvl language,contains,feature
uvl language,contains,relationship
uvl language,contains,crosstree constraint
uvl language,supports,namespace
uvl language,supports,import
uvl language,includes,mandatory relationship
uvl language,includes,optional relationship
uvl language,includes,relationship
uvl language,includes,alternative relationship
uvl language,features,boolean core
uvl language,features,group cardinality minor level
uvl language,features,arithmetic core
uvl language,features,attribute aggregate minor level
uvl language,features,feature cardinality minor level
uvl language,features,type core
uvl language,features,type numericconstraint minor level
uvl language,features,type stringconstraint minor level
uvl language,supports,numeric constraints feature attribute
uvl language,supports,string feature
uvl language,supports,integer feature
uvl language,supports,float feature
uvl language,originated from,modevar initiative
uvl language,development started in,2018
uvl language,is integrated into,pure::variant
uvl language,is integrated into,travart
uvl language,is supported by,uvls
uvl language,has,antlrbase parser
uvl language,uses,propositional logic constraint
uvl language,supports,model decomposition
uvl language,is,opensource format
uvl language,uses,line break end statement
uvl language,allows,abstract feature
uvl language,includes,crosstree constraint
uvl language,supports,feature cardinality
uvl language,supports,group cardinality
uvl language,has,import mechanism
uvl language,has,namespace
uvl language,uses,antlr parser generator
uvl language,has parser for,java
uvl language,has parser for,python
uvl language,has parser for,javascript
uvl language,integrated into,featureide
uvl language,integrated into,flamapy
uvl language,integrated into,travart
uvl language,integrated into,uvls
uvl language,integrated into,pure::variant
uvl language,supports,propositional logic
uvl language,supports,model composition
uvl language,aims for,tool interoperability
uvl language,maintains,uvlhub repository
uvl language,design goals include,simplicity
uvl language,design goals include,expressiveness
uvl language,design goals include,information hiding
uvl language,uses,line break statement end
uvl language,is structured into,boolean major level
uvl language,is structured into,arithmetic major level
uvl language,is structured into,type major level
uvl language,supports,crosstree constraint
uvl language,supports,feature attribute
uvl language,includes,import mechanism
uvl language,uses,antlr parser generation
uvl language,uses,line break statement ending
uvl language,allows,model decomposition
uvl language,includes minor level,group cardinality
uvl language,includes minor level,attribute aggregate
uvl language,includes minor level,feature cardinality
uvl language,includes minor level,type numericconstraint
uvl language,includes minor level,type stringconstraint
uvl language,provides,conversion strategy level
uvl language,uses,contextfree grammar specification
uvl language,allows,toolspecific data storage attribute
uvl language,uses,identifier protect quotation mark ambiguity
uvl language,is licensed under,gnu less general public license
uvl language,features minor level,group cardinality
uvl language,features minor level,attribute aggregate
uvl language,features minor level,feature cardinality
uvl language,features minor level,type numericconstraint
uvl language,features minor level,type stringconstraint
uvl language,is integrated into,ddueruem
uvl language,is integrated into,fm fact label
uvl language,is integrated into,v4rdiac
uvl language,has models available in,uvlhub repository
language extension,enhance,expressiveness
language extension,accommodate,diverse modeling need
language extension,encapsulate,language construct
language extension,extend,uvl core language
language extension,are,optional
language extension,are known as,language level
language extension,allow,tailor model specific use case
language extension,allow,tailor model tool limitation
language extension,are enabled via,include keyword
language extension,are grouped by,reasoning engine
minor language level,are,optional extension major level
extension mechanism,adds,sophisticated language property
extension mechanism,maintains,simple base language
extension mechanism,allows,arbitrary datum storage
extension mechanism,uses,feature attribute toolspecific data
conversion strategy,translate between,language extension
language extension,extend,core language
language extension,introduce,additional construct
language extension,enhance,uvl expressiveness
language extension,accommodate,diverse modelling need
uvl,allows,language extension
language level,are,uvl extension
language level,encapsulate,language construct
language level,extend,core uvl language
minor language level,are,optional extension
minor language level,provide,additional expressiveness
group cardinality,is,minor level boolean level
feature cardinality,is,minor level arithmetic level
aggregate function,are,minor level arithmetic level
string constraint,are,minor level type level
numericconstraint,is,minor level type level
include keyword,declares,support language extension
include keyword,enables,major level
include keyword,enables,minor level
include keyword,enables,minor level wildcard
minor level,include,respective major level
language level,group constructs by,reasoning engine
language extension,enable,tailor language specification
language extension,cover,sophisticated expression
language extension,preserve,simple core language
language level,represent,different feature type
language level,represent,vary relationship type
language extension,are,language level
language extension,preserve,core language simplicity
language extension,extend,core uvl language
minor language level,extend,major level
language extension,provide,expressive language feature
language extension,add,complex construct
language extension,allow,tailor language specification
aggregate function,is,minor level arithmetic level
string constraint,is,minor level type level
feature tree,is,hierarchically arrange set feature
feature tree,is also known as,feature diagram
feature tree,is a component of,feature model
feature tree,consists of,feature
feature tree,consists of,group
feature tree,requires,exactly root feature
feature,possess,unique name identifier
feature,can have,feature cardinality
feature,can have,attribute
feature,can have,arbitrary number group
group,can have,arbitrary number feature
feature tree,utilizes,indentation represent relationship
feature tree,utilizes,nest specify hierarchy
feature tree,supports,optional group
feature tree,supports,mandatory group
feature tree,supports,group
feature tree,supports,alternative group
feature tree,supports,group cardinality
optional group,are part of,boolean level
mandatory group,are part of,boolean level
group,are part of,boolean level
alternative group,are part of,boolean level
group cardinality,is,boolean minor level extension
feature tree,represents,hierarchical structure variability model
